publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
中华书局,35,8.98857142857143,8.96788326997816,194480,26.0,1956-2017,"['万历十五年（增订本）', '万历十五年', '史记（全十册）', '唐诗三百首', '古文观止', '论语', '于丹《论语》心得', '庄子', '山月记', '万历十五年', '史记', '三国志（全五册）', '資治通鑑（全二十冊）', '水浒传', '姥姥语录', '万历十五年', '人间词话', '古代汉语（第一册）', '谈美', '三国志', '金刚经 心经 坛经', '资治通鉴', '宅兹中国', '論語譯註', '正说清朝十二帝', '三国史话', '金刚经·心经', '论语译注', '四書章句集注', '老子注译及评介', '飲水詞箋校', '唐诗三百首', '大学·中庸', '世说新语', '记一忘三二']",8.812499274242517,优秀
北京大学出版社,29,8.851724137931035,8.837059973649223,168410,39.8,1998-2015,"['异乡人', '全球通史(上)', '全球通史（第7版 上册）', '全球通史', '经济学原理', '全球通史(下)', '批评官员的尺度', '贾想1996—2008', '输赢', '中国哲学简史', '米娅，快跑', '乡土中国', '经济学原理', '经济学通识', '李光耀观天下', '东晋门阀政治', '乡土中国 生育制度', '中国现代文学三十年', '日常生活中的自我呈现', '别告诉我你懂PPT', '唐宋词十七讲', '经济学原理（第4版）', '经济学原理(第7版)', '欧洲文明十五讲', '江村经济', '电影批评', '全球通史', '政治学通识', '西方文学十五讲']",8.688126127717439,优秀
少年儿童出版社,19,8.921052631578947,8.901889452508305,87428,17.0,1962-2006,"['猜猜我有多爱你', '十万个为什么', '365夜故事（上下）', '汤姆・索亚历险记', '上下五千年', '365夜', '安徒生童话', '女生贾梅全传', '男生贾里全传', '爷爷一定有办法', '三毛流浪记（全集）', '风与树的歌', '七色花', '鳄鱼怕怕牙医怕怕', '舒克和贝塔历险记', '逃家小兔', '小灵通漫游未来', '花香小镇', '母鸡萝丝去散步']",8.678926900539034,优秀
商务印书馆,46,8.752173913043478,8.739163947937813,364882,25.0,1960-2013,"['如何阅读一本书', '菊与刀', '理想国', '走到人生边上', '君主论', '社会契约论', '國史大綱（上下）', '西方哲学史（上卷）', '旧制度与大革命', '新华字典（1998年修订本）', '论美国的民主', '作为意志和表象的世界', '现代汉语词典（修订本）', '哥德尔、艾舍尔、巴赫', '精神分析引论', '江村经济', '古汉语常用字字典', '李尔王', '论人类不平等的起源和基础', '西方哲学史（下卷）', '菊与刀', '会饮篇', '论自由', '自杀论', '发现之旅', '蓝海战略', '谈谈方法', '利维坦', '忏悔录', '爱弥儿', '道德情操论', '政府论（下篇）', '旧制度与大革命', '小逻辑', '诗学', '武士道', '联邦党人文集', '社会契约论', '逻辑哲学论', '索拉里斯星', '乌托邦', '伯罗奔尼撒战争史', '尼各马可伦理学', '西方哲学史', '第一哲学沉思集', '牛津高阶英汉双解词典(第四版)']",8.652283549501355,优秀
東立,33,8.784848484848483,8.76895416753021,146889,100.0,1993-2006,"['七龍珠 34', '漩涡', '死神01', '魚', '伊藤潤二恐怖漫畫精選【1】', '20世紀少年01', '至死不渝的愛', 'MONSTER-怪物-02', '铳梦', '戒音', '伊藤潤二恐怖漫畫精選【2】', '魚2', '漩渦2', '人頭氣球', 'MONSTER-怪物-01', '毒藥伯爵(13)', '火影忍者26', '闇之聲', '漩渦3', '伊藤潤二恐怖漫畫精選【7】', 'xxxHOLiC(01)', '伊藤潤二恐怖漫畫精選【5】', '淘氣小親親01', '伊藤潤二恐怖漫畫精選【3】', '地獄星', '禁入空間', '輝夜姬(01)', '伊藤潤二恐怖漫畫精選【4】', '伊藤潤二恐怖漫畫精選【6】', '伊藤潤二恐怖漫畫精選【12】', '快樂的暑假', '禁斷戀愛', '伊藤潤二恐怖漫畫精選【15】']",8.648798598712668,优秀
人民邮电出版社,33,8.76969696969697,8.754607173996705,183320,59.0,2003-2016,"['黑客与画家', '社会心理学', '心理学与生活', '番茄工作法图解', '亲密关系', '写给大家看的设计书（第3版）', '数学之美', '简约至上', '聪明的投资者', '对伪心理学说不', '文明之光（第一册）', 'C++ Primer 中文版（第 4 版）', '亲密关系', '亲密关系', '数学之美 （第二版）', '结网', '改变心理学的40项研究', '决策与判断', '浪潮之巅（第2版）（套装上下册）', 'Python编程', '鸟哥的Linux私房菜', '文明之光（第二册）', '信息简史', '图解HTTP', 'JavaScript高级程序设计（第3版）', '软件随想录', '文明之光 （第三册）', '社会心理学', 'UNIX环境高级编程', '瞬间之美', '编程珠玑', '硅谷之谜', '说服力 让你的PPT会说话']",8.637525960936342,优秀
岳麓书社,8,9.1,9.082043572882386,47884,18.25,1986-2019,"['三国演义', '红楼梦', '西游记', '聊斋志异', '山海经', '三国演义', '简读中国史', '史记']",8.619435423558484,卓越
新經典文化,5,9.2,9.170650070863783,15209,200.0,2011-2012,"['深夜食堂 06', '深夜食堂 05', '深夜食堂 02', '深夜食堂 09', '深夜食堂 03']",8.55195028369672,卓越
人民出版社,12,8.825000000000001,8.808578304627998,61220,34.0,1991-2009,"['做最好的自己', '毛泽东选集 第一卷', '朱镕基答记者问', '共产党宣言', '乡土中国', '纯粹理性批判', '红楼梦', '大国崛起', '资本论（第一卷）', '毛泽东选集 第二卷', '家庭、私有制和国家的起源', '1844年经济学哲学手稿']",8.551285393951005,优秀
广州出版社,4,9.325,9.295469197052153,13396,110.5,2006-2011,"['金庸作品集', '笑傲江湖', '天龙八部', '射雕英雄传（全4册）']",8.542763877357213,卓越
哈尔滨出版社,31,8.638709677419355,8.630414571047178,422172,15.8,2000-2016,"['撒哈拉的故事', '飞鸟集', '金锁记', '哭泣的骆驼', '万水千山走遍', '梦里花落知多少', '恐怖宠物店（10）', '小王子（中英文对照本）', '闹学记', '告白', '我的宝贝', '彼得·潘', '恐怖宠物店1', '青鸟', '稻草人手记', '致加西亚的信', '雨季不再来', '张爱玲全集1：长篇小说·半生缘', '醒来觉得甚是爱你', '倾城', '滚滚红尘', '送你一匹马', '温柔的夜', '我的灵魂骑在纸背上', '随想', '金锁记', '背影', '亲爱的三毛', '福尔摩斯探案全集（上中下）', '谈心', '红楼梦魇']",8.535422632997442,优秀
浙江教育出版社,6,9.033333333333333,9.010857238235273,26183,37.5,1991-2018,"['中国少年儿童百科全书（全四册）', '中国少年儿童百科全书', '奈飞文化手册', '中国少年儿童百科全书', '中国少年儿童百科全书', '中国少年儿童百科全书']",8.529279803123119,卓越
